Vivado Simulator 2020.2
Time resolution is 1 ps
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 1
Output spike: 1
Output spike: 1
Output spike: 1
Output spike: 1
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 0
$finish called at time : 380 ns : File "/home/dinesh/Projects/RTL/nai_27_04_2023/project_1/project_1.srcs/sim_1/new/tb_snn_2L_3N.v" Line 58
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 2
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
Output spike: 0
